Technology Combination,Job Role,Vacancies,Fresher Package,Experienced Package,Top Companies,Popularity Score
"HTML5", "Frontend Developer", 8000, "3-6 LPA", "6-13 LPA", "TCS, Infosys, Wipro, Capgemini, Cognizant, IBM", 9
"CSS3", "Frontend Developer", 8000, "3-6 LPA", "6-13 LPA", "TCS, Infosys, Wipro, Capgemini, Cognizant, IBM", 9
"JavaScript", "Frontend Developer", 9000, "3-6 LPA", "7-14 LPA", "Infosys, Wipro, Cognizant, IBM, TCS", 10
"React.js", "React Developer", 6000, "4-7 LPA", "7-16 LPA", "Flipkart, Swiggy, Ola, PayTM, Infosys, Cognizant", 9
"Angular JS", "Angular Developer", 4500, "4-7 LPA", "7-15 LPA", "HCL, TCS, Capgemini, Wipro, Infosys", 8
"Bootstrap", "UI Developer", 3500, "3-6 LPA", "6-11 LPA", "Infosys, Capgemini, Tata, Wipro", 7
"Tailwind CSS", "Frontend Developer", 1000, "3-5 LPA", "6-10 LPA", "Startups, Infosys, Capgemini", 6
"Java", "Java Developer", 10500, "3.5-7 LPA", "6-14 LPA", "TCS, HCL, Infosys, Wipro, Tech Mahindra", 10
"Spring Boot", "Spring Boot Developer", 7000, "4-8 LPA", "8-18 LPA", "TCS, Infosys, IBM, Capgemini, Atos", 9
"Django", "Django Developer", 2500, "4-7 LPA", "7-14 LPA", "Amazon, Flipkart, Capgemini, Infosys", 7
"Python Core", "Python Developer", 9000, "3.8-6.5 LPA", "7-15 LPA", "Amazon, Google, Infosys, Capgemini, Cognizant", 10
"Node.js", "Node.js Developer", 4000, "4-7 LPA", "7-14 LPA", "Flipkart, Swiggy, Zomato, PayTM, Ola", 9
"Express.js", "Node.js Developer", 2800, "3.5-6 LPA", "6-12 LPA", "Infosys, Wipro, startups, Capgemini", 8
"PHP Core", "PHP Developer", 3000, "2.5-4 LPA", "5-9 LPA", "Wipro, Capgemini, Infosys, startups", 7
"Laravel", "PHP Developer", 900, "3-5 LPA", "5-10 LPA", "Capgemini, Tata, startups", 6
"MySQL", "DB Administrator", 4500, "3.5-6 LPA", "6-13 LPA", "TCS, Infosys, Wipro, IBM, Tech Mahindra", 8
"MongoDB", "DB Developer", 1200, "4-7 LPA", "7-15 LPA", "Flipkart, Swiggy, Zomato, Capgemini, startups", 7
"Oracle", "DB Administrator", 3500, "3.5-6 LPA", "6-14 LPA", "Infosys, TCS, Oracle, IBM, Accenture", 8
"TypeScript", "Web Developer", 3200, "4-7 LPA", "7-15 LPA", "Microsoft, Infosys, Cognizant, PayTM", 7
"C++ with OOPS", "C++ Developer", 2100, "3.5-7 LPA", "7-15 LPA", "Infosys, Tata Elxsi, Tech Mahindra, Capgemini", 8
"Solidity", "Blockchain Developer", 500, "5-10 LPA", "10-25 LPA", "Polygon, Tata, startups", 5
"HTML5 + CSS3 + JavaScript", "Frontend Developer", 13000, "3-6 LPA", "6-14 LPA", "TCS, Infosys, Wipro, Capgemini, Cognizant", 10
"HTML5 + CSS3 + JavaScript + React.js", "Frontend Developer", 7000, "4-7 LPA", "7-16 LPA", "Flipkart, Swiggy, Ola, PayTM, Infosys", 9
"React.js + TypeScript", "Frontend Developer", 3500, "4-8 LPA", "8-16 LPA", "Swiggy, Flipkart, Ola, Capgemini", 8
"React.js + Redux", "Frontend Developer", 1800, "4-8 LPA", "7-16 LPA", "PayTM, Swiggy, Flipkart", 7
"Angular JS + TypeScript", "Angular Developer", 3000, "4-7 LPA", "7-15 LPA", "Capgemini, Infosys, Wipro", 7
